Country,Window,test_year,r2_MSE_builtin,mae_MSE_builtin,r2_Asymmetric15,mae_Asymmetric15,r2_Asymmetric20,mae_Asymmetric20,r2_Normalized,mae_Normalized,r2_Winsorized95,mae_Winsorized95,r2_Winsorized90,mae_Winsorized90
DE,W1,2020,0.6014,7.32,0.0867,12.69,-0.0883,14.24,0.7429,5.77,-0.0363,13.83,0.0001,13.49
DE,W2,2021,-0.864,55.09,-1.0516,61.78,-0.8748,58.07,-0.6541,51.88,-1.023,61.0,-1.0061,60.18
DE,W3 (Crisis),2022,-2.4611,127.22,-2.4209,126.83,-2.4267,126.94,-2.7149,132.8,-2.455,126.84,-2.5346,128.46
DE,W4,2023,0.0026,32.14,-0.5642,41.55,-0.3104,37.58,-0.1412,35.03,0.0515,31.44,0.0974,30.49
DE,W5,2024,0.5198,16.28,0.5215,16.7,0.5285,16.31,0.5741,14.95,0.5434,16.33,0.5328,16.43
DE,W6,2025,0.5482,18.79,0.5404,19.06,0.5765,17.9,0.4945,19.71,0.4746,20.56,0.5456,18.05
DK,W1,2020,0.0966,13.15,0.2853,11.28,0.1574,12.36,0.3541,10.61,0.2894,11.34,0.2371,11.85
DK,W2,2021,-0.1648,34.84,-0.1943,35.69,-0.1833,35.36,-0.1906,35.26,-0.1971,35.85,-0.1898,35.71
DK,W3 (Crisis),2022,-1.6644,118.02,-1.6602,118.23,-1.6584,118.42,-1.9123,124.42,-1.6858,118.56,-1.6951,118.91
DK,W4,2023,0.4358,23.15,0.4408,23.4,0.363,24.75,0.0084,33.46,0.4229,23.65,0.4051,24.04
DK,W5,2024,0.2565,24.07,0.2645,24.11,0.2576,24.43,0.2768,23.15,0.2759,23.91,0.2756,23.91
DK,W6,2025,0.268,26.37,0.2752,26.02,0.2713,26.0,0.2442,27.61,0.2636,26.51,0.2641,26.32
ES,W1,2020,0.6016,5.26,0.6149,5.12,0.6114,5.14,0.6097,5.19,0.6203,5.15,0.6244,5.11
ES,W2,2021,-0.6312,56.7,-0.6889,58.72,-0.6162,56.85,-0.7372,59.59,-0.6296,57.38,-0.6227,57.23
ES,W3 (Crisis),2022,-3.2982,105.91,-3.2645,105.44,-3.1832,104.1,-3.8727,113.34,-3.3768,106.95,-3.6199,109.98
ES,W4,2023,0.2579,20.49,0.2896,20.49,0.2916,20.4,0.1931,24.03,0.1751,24.25,0.2606,21.91
ES,W5,2024,0.5867,18.61,0.5377,19.2,0.5349,19.59,0.6074,18.18,0.5921,18.48,0.4863,20.75
ES,W6,2025,0.4441,22.1,0.4748,21.08,0.4321,22.0,0.5625,19.92,0.5204,20.47,0.5197,20.46
FR,W1,2020,0.2859,8.16,0.1471,9.28,0.165,9.18,0.2478,8.66,0.188,9.08,0.233,8.71
FR,W2,2021,-0.2318,50.5,-0.1491,50.87,-0.1946,52.09,-0.3369,54.33,-0.3385,54.97,-0.3514,54.8
FR,W3 (Crisis),2022,-2.4531,127.73,-2.5033,129.03,-2.4853,128.53,-2.606,131.02,-2.6669,132.76,-2.78,135.45
FR,W4,2023,0.1896,29.48,0.1126,31.11,0.1477,30.01,0.0363,31.95,0.1576,29.7,0.1084,30.84
FR,W5,2024,0.1145,25.5,0.2088,24.24,0.211,24.09,0.3884,21.19,0.2285,23.43,0.2534,23.11
FR,W6,2025,0.4112,23.06,0.3556,24.03,0.3188,24.71,0.5347,20.01,0.4253,22.39,0.4346,22.2
IT,W1,2020,0.2148,10.61,0.1426,11.29,0.2318,10.61,0.3682,9.45,0.2483,10.4,0.2786,10.17
IT,W2,2021,-0.5244,55.12,-0.542,55.62,-0.4911,53.71,-0.609,57.52,-0.5588,55.69,-0.5617,55.68
IT,W3 (Crisis),2022,-4.776,163.38,-4.7093,162.25,-4.6773,161.79,-4.7891,163.83,-4.8128,164.01,-4.8271,164.28
IT,W4,2023,0.6719,12.9,0.6258,13.85,0.6185,13.98,0.2449,22.17,0.4441,17.7,0.2479,22.01
IT,W5,2024,0.4595,12.83,0.4487,13.25,0.5286,12.17,-0.1406,21.22,0.4139,13.7,0.3159,15.02
IT,W6,2025,-1.2955,21.37,-1.377,21.54,-1.0051,19.71,-1.2158,21.09,-1.4941,22.28,-1.0939,20.06
PL,W1,2020,-0.1628,9.73,-0.1596,9.67,-0.3091,10.43,0.1093,8.37,-0.2099,9.95,-0.2205,10.13
PL,W2,2021,-0.6294,25.13,-0.7655,28.42,-0.7531,28.38,-0.982,30.34,-0.8381,28.52,-0.8764,28.77
PL,W3 (Crisis),2022,-2.1707,62.56,-2.039,61.25,-2.1034,62.03,-2.411,65.31,-2.3259,64.2,-2.2733,63.56
PL,W4,2023,-0.9315,31.84,-0.9435,31.93,-0.9634,32.22,-1.1849,34.12,-1.0236,32.67,-0.9653,31.98
PL,W5,2024,0.2199,18.82,0.1786,19.94,0.2108,19.27,0.2307,18.72,0.2621,17.87,0.24,18.06
PL,W6,2025,0.3605,17.31,0.4264,17.29,0.4412,16.88,0.3318,19.1,0.3079,19.39,0.3067,19.35
