Country,Window,train_end,test_year,r2_c1,mae_c1,r2_c2,mae_c2
DE,W1,2019,2020,0.6264534660997125,7.021264248258575,0.461477142863727,8.370938954522792
DE,W2,2020,2021,-0.6946831650254099,51.2775037264377,-0.8095624326218862,52.83161159806455
DE,W3 (Crisis),2021,2022,-2.186990768181423,123.3064297817932,-2.225500954353645,123.95778886606577
DE,W4,2022,2023,0.5334426872920321,21.403566371126537,0.5851855250754445,19.813561211123005
DE,W5,2023,2024,0.5983539695914781,15.440650280118884,0.539234687263493,16.568444550335755
DE,W6,2024,2025,0.5281774373079968,19.638175283947493,0.564724585371587,18.63360717863022
DK,W1,2019,2020,0.07161883068875907,12.973360039821575,-0.04767823163616125,13.951371308986369
DK,W2,2020,2021,-0.17203766704817336,36.16096084182738,-0.16128975582686111,35.9847377091459
DK,W3 (Crisis),2021,2022,-1.476757642913472,121.86840161294757,-1.4307832631372328,119.86974798068184
DK,W4,2022,2023,0.3656004556242676,25.378445128032777,0.35325569708394844,25.315724035639885
DK,W5,2023,2024,0.3261364883861557,22.746529967317837,0.3605745585819802,22.0714312829002
DK,W6,2024,2025,0.28863808700870175,25.80749319102958,0.28939032465091674,25.961090102387086
ES,W1,2019,2020,0.5726533323200917,5.434760653297205,0.5701222643313271,5.522970835149234
ES,W2,2020,2021,-0.6152719050755813,57.736093498671075,-0.561956275403573,56.22618507561343
ES,W3 (Crisis),2021,2022,-12.502576239956479,132.98288712706648,-12.357093368567492,132.22275880147424
ES,W4,2022,2023,-0.43535863823043197,36.40288813389583,-0.5131861855078366,37.53402261591888
ES,W5,2023,2024,0.4061524270120618,22.135344841622253,0.5133562993768608,20.369286859159782
ES,W6,2024,2025,0.3555456058667593,24.030750652946768,0.3742081539836335,23.808789444263258
FR,W1,2019,2020,0.015791743626191956,9.82082079645315,0.039092099245252365,9.741446886045765
FR,W2,2020,2021,-0.3540495251004834,51.29681217062439,-0.3008557654286468,49.82083766440149
FR,W3 (Crisis),2021,2022,-3.0791502040992382,147.41702190879585,-3.087844243172163,147.73591057357157
FR,W4,2022,2023,0.41364386969359823,24.99851939495169,0.4226921644950955,24.749535847999717
FR,W5,2023,2024,-0.0019812257426243818,27.671307577522185,-0.019308434002885955,27.939630236352254
FR,W6,2024,2025,0.5054711987092956,20.853109676640287,0.5294062626315357,20.400238132459986
IT,W1,2019,2020,0.11671959031766743,9.315131470160004,0.15488613158002773,8.982596584581826
IT,W2,2020,2021,-0.46978253753634447,56.720065554554445,-0.46955010843105427,57.12145052324416
IT,W3 (Crisis),2021,2022,-4.569715353108407,160.05405064691627,-4.551793499531988,159.73078475939377
IT,W4,2022,2023,0.5909363120874722,14.864918346659344,0.6101904284806111,14.669495749942739
IT,W5,2023,2024,0.41087747036870237,14.617133372471745,0.5167460499054966,13.166411090636569
IT,W6,2024,2025,-0.8516919705529136,19.992429700131993,-0.9378467294802946,20.41046376403579
PL,W1,2019,2020,0.08374459169026027,8.255836841451954,0.07544717438766868,8.188141181930241
PL,W2,2020,2021,-0.13761970412330138,21.6672009010033,-0.10010775877598421,21.274822522837702
PL,W3 (Crisis),2021,2022,-2.644653860011506,60.78817437713594,-2.466006333862432,58.7955806955767
PL,W4,2022,2023,-0.008244168297805832,23.66742309269883,0.09690545732732847,22.183844662310875
PL,W5,2023,2024,0.23084816777588046,18.560768230627637,0.2392721354997961,18.510852195202713
PL,W6,2024,2025,0.2821496410462795,19.872360393744867,0.28491842644651566,20.07988180636945
